Regi¢n,PA,Nombre,Provincia,Distrito,Corregimiento,Tipo UM,Latitude,Longitude,Fecha de Activaci¢n
1,1,Colegio Rogelio JosuÇ Ibarra,Bocas del Toro,Bocas del Toro,Bocas del Toro,FO,9.340654,-82.242499,12/07/17
1,3,Escuela Rep£blica de Nicaragua,Bocas del Toro,Bocas del Toro,Bocas del Toro,FO,9.338938,-82.242668,12/07/17
1,4,Gobernaci¢n,Bocas del Toro,Bocas del Toro,Bocas del Toro,FO,9.297858,-82.41136,23/11/17
1,5,Parque Sim¢n Bol°var,Bocas del Toro,Bocas del Toro,Bocas del Toro,FO,9.340183,-82.240631,12/07/17
1,6,Col. Sec. de Almirante,Bocas del Toro,Almirante,Puerto Almirante,FO,9.299741,-82.413301,10/07/17
1,7,Escuela Almirante,Bocas del Toro,Almirante,Puerto Almirante,FO,9.292715,-82.394887,28/06/17
1,8,Escuela Barriada Guaymi,Bocas del Toro,Almirante,Puerto Almirante,FO,8.242676,-81.670066,30/06/17
1,9,Escuela Berta L¢pez,Bocas del Toro,Almirante,Puerto Almirante,FO,9.29509,-82.404895,29/06/17
1,10,Escuela Miraflores,Bocas del Toro,Almirante,Puerto Almirante,FO,9.305504,-82.437321,10/07/17
1,11,Escuela Nuevo Para°so,Bocas del Toro,Almirante,Puerto Almirante,FO,9.283946,-82.410794,29/06/17
1,12,Area frente al Ministerio de Desarrollo Social Changuinola,Bocas del Toro,Changuinola,Changuinola,PTP,9.437158,-82.519229,29/06/17
1,13,BDA,Bocas del Toro,Changuinola,Changuinola,FO,9.437215,-82.519311,10/07/17
1,17,Escuela Finca 41,Bocas del Toro,Changuinola,Changuinola,FO,9.471103,-82.513954,27/06/17
1,19,Hospital Changuinola,Bocas del Toro,Changuinola,Changuinola,FO,9.449043,-82.516495,29/06/17
1,20,Instituto Profesional y tÇcnico de Bocas del Toro,Bocas del Toro,Changuinola,Changuinola,HFC,9.47141,-82.51574,26/06/17
1,21,Palacio Municipal Changuinola,Bocas del Toro,Changuinola,Changuinola,FO,9.454582,-82.516882,26/06/17
1,22,Parque de la escuela de changuinola,Bocas del Toro,Changuinola,Changuinola,FO,9.456052,-82.514567,11/07/17
1,24,Policia de la Ni§ez y Adolescencia,Bocas del Toro,Changuinola,Changuinola,FO,9.477634,-82.508425,27/06/17
1,25,Policia Nacional Changuinola,Bocas del Toro,Changuinola,Changuinola,FO,9.448461,-82.519042,02/08/17
1,26,Terminal de Transporte Sincotavecop,Bocas del Toro,Changuinola,Changuinola,FO,9.449858,-82.518679,29/06/17
1,27,C.E.B.G. Finca 32,Bocas del Toro,Changuinola,Changuinola,HFC,9.427024,-82.555804,27/06/17
1,28,C.E.B.G. FINCA 62,Bocas del Toro,Changuinola,Changuinola,PTP,9.437268,-82.497184,26/06/17
1,29,Escuela Finca 43,Bocas del Toro,Changuinola,Changuinola,FO,9.474736,-82.499969,26/06/17
1,30,Escuela Finca 44,Bocas del Toro,Changuinola,Changuinola,FO,9.474577,-82.482878,26/06/17
1,31,Escuela Finca 64,Bocas del Toro,Changuinola,Changuinola,FO,9.458968,-82.496082,02/08/17
1,32,Escuela Finca 67,Bocas del Toro,Changuinola,Changuinola,FO,9.437948,-82.497599,02/08/17
